Rxx (ohm),Rxy (ohm),EM Current (percentage),Vxx (mV),Vxy (mV),Magnetic Field (T),Time stamp,T sample (K),T valve (k),DC current (mA),angle (°)
189.69565,-0.1127565,27.947496728397667,0.18969565,-0.0001127565,0.2619,26.77014708518982,284.58,284.49,0.001,-220.0
189.72359,-0.109985,27.947496728397667,0.18972359,-0.000109985,0.30645,62.44820761680603,284.55,284.5,0.001,-210.0
189.74878999999999,-0.1058385,27.947496728397667,0.18974879,-0.0001058385,0.30695,123.07256436347961,284.59,284.47,0.001,-200.0
189.75878,-0.1006335,27.947496728397667,0.18975878000000002,-0.0001006335,0.30600000000000005,201.97009468078613,284.51,284.45,0.001,-190.0
189.75837,-0.095348,27.947496728397667,0.18975837,-9.534800000000001e-05,0.3068,314.07107615470886,284.59,284.52,0.001,-180.0
189.74549499999998,-0.089998,27.947496728397667,0.189745495,-8.9998e-05,0.3065,383.4921181201935,284.61,284.49,0.001,-170.0
189.72323000000003,-0.08581349999999999,27.947496728397667,0.18972323000000002,-8.58135e-05,0.30625,419.2095470428467,284.6,284.45,0.001,-160.0
189.691845,-0.0833375,27.947496728397667,0.189691845,-8.33375e-05,0.3062,440.2075619697571,284.56,284.51,0.001,-150.0
189.65752,-0.0822475,27.947496728397667,0.18965752,-8.224750000000001e-05,0.30610000000000004,473.474490404129,284.51,284.5,0.001,-140.0
189.62359499999997,-0.083359,27.947496728397667,0.18962359499999998,-8.3359e-05,0.3056,498.32121992111206,284.57,284.49,0.001,-130.0
189.59449,-0.086356,27.947496728397667,0.18959449,-8.6356e-05,0.30635,571.2350015640259,284.56,284.46,0.001,-120.0
189.5737,-0.0909705,27.947496728397667,0.1895737,-9.09705e-05,0.30555,609.7422325611115,284.54,284.45,0.001,-110.0
189.56224,-0.096041,27.947496728397667,0.18956224,-9.6041e-05,0.30679999999999996,623.7038793563843,284.58,284.5,0.001,-100.0
189.562595,-0.10161649999999998,27.947496728397667,0.189562595,-0.00010161649999999999,0.30685,647.3316991329193,284.54,284.47,0.001,-90.0
189.57451,-0.10647799999999999,27.947496728397667,0.18957451,-0.00010647799999999999,0.3065,702.6727533340454,284.55,284.48,0.001,-80.0
189.59596,-0.1106295,27.947496728397667,0.18959596,-0.00011062950000000001,0.30555,738.4966850280762,284.6,284.51,0.001,-70.0
189.62714499999998,-0.1135625,27.947496728397667,0.189627145,-0.0001135625,0.30610000000000004,800.5752418041229,284.52,284.5,0.001,-60.0
189.66112,-0.11413699999999999,27.947496728397667,0.18966112000000002,-0.000114137,0.30613999999999997,1010.4774606227875,284.56,284.46,0.001,-50.0
189.69661,-0.1128855,27.947496728397667,0.18969661,-0.0001128855,0.30585,1048.031878709793,284.64,284.52,0.001,-40.0
189.727695,-0.10987799999999999,27.947496728397667,0.189727695,-0.000109878,0.30679999999999996,1075.3399217128754,284.57,284.46,0.001,-30.0
189.749145,-0.105226,27.947496728397667,0.189749145,-0.000105226,0.3061,1105.2777695655823,284.54,284.48,0.001,-20.0
189.76091,-0.099844,27.947496728397667,0.18976091,-9.9844e-05,0.30565,1138.975340604782,284.56,284.43,0.001,-10.0
189.76116000000002,-0.094188,27.947496728397667,0.18976116,-9.4188e-05,0.30625,1152.5443665981293,284.56,284.53,0.001,0.0
189.75964499999998,-0.08888099999999999,27.947496728397667,0.18975964499999998,-8.888099999999999e-05,0.3065,3002.7644538879395,284.64,284.57,0.001,10.0
189.738245,-0.084589,27.947496728397667,0.189738245,-8.4589e-05,0.306,3245.691657781601,284.66,284.53,0.001,20.0
189.70863,-0.081549,27.947496728397667,0.18970863,-8.1549e-05,0.30674999999999997,3276.9994049072266,284.61,284.56,0.001,30.0
189.67491,-0.0807055,27.947496728397667,0.18967491,-8.07055e-05,0.30665,3370.3397097587585,284.57,284.56,0.001,40.0
189.641395,-0.08164,27.947496728397667,0.189641395,-8.164000000000001e-05,0.30645,3386.807544708252,284.63,284.54,0.001,50.0
189.61081499999997,-0.08461049999999999,27.947496728397667,0.189610815,-8.46105e-05,0.3066,3423.004940032959,284.58,284.6,0.001,60.0
189.58966999999998,-0.08904200000000001,27.947496728397667,0.18958967,-8.9042e-05,0.3063,3446.186068058014,284.6,284.51,0.001,70.0
189.579325,-0.09442949999999999,27.947496728397667,0.18957932500000002,-9.44295e-05,0.30665,3459.425116300583,284.63,284.6,0.001,80.0
189.57948000000002,-0.10004799999999998,27.947496728397667,0.18957948000000002,-0.00010004799999999999,0.3058,3494.819577932358,284.65,284.55,0.001,90.0
189.5916,-0.10532799999999999,27.947496728397667,0.1895916,-0.00010532799999999999,0.30545,3512.187348127365,284.61,284.54,0.001,100.0
189.61295,-0.10996899999999998,27.947496728397667,0.18961295,-0.00010996899999999999,0.30665,3545.8949251174927,284.57,284.54,0.001,110.0
189.64266,-0.112848,27.947496728397667,0.18964266000000002,-0.000112848,0.30579999999999996,3614.6215534210205,284.63,284.58,0.001,120.0
189.678105,-0.1139065,27.947496728397667,0.18967810499999999,-0.0001139065,0.3065,3646.905739068985,284.67,284.54,0.001,130.0
189.712485,-0.11281050000000001,27.947496728397667,0.189712485,-0.00011281050000000001,0.30685,3664.8044493198395,284.65,284.58,0.001,140.0
189.74468,-0.10993649999999999,27.947496728397667,0.18974468,-0.0001099365,0.30589999999999995,3714.6508617401123,284.66,284.55,0.001,150.0
189.76755,-0.1060805,27.947496728397667,0.18976755,-0.0001060805,0.30610000000000004,3748.9823186397552,284.66,284.58,0.001,160.0
189.77891000000002,-0.10069249999999999,27.947496728397667,0.18977891000000002,-0.0001006925,0.3066,3780.9750430583954,284.64,284.58,0.001,170.0
189.77824999999999,-0.095155,27.947496728397667,0.18977824999999998,-9.5155e-05,0.30635,3799.063280105591,284.67,284.57,0.001,180.0
189.76618,-0.090084,27.947496728397667,0.18976618,-9.0084e-05,0.30645,3812.7313072681427,284.66,284.57,0.001,190.0
189.743925,-0.086168,27.947496728397667,0.189743925,-8.616799999999999e-05,0.30565,3836.579592704773,284.69,284.58,0.001,200.0
189.712485,-0.083241,27.947496728397667,0.189712485,-8.3241e-05,0.30615000000000003,3847.7078070640564,284.63,284.6,0.001,210.0
189.67804999999998,-0.0824295,27.947496728397667,0.18967805,-8.24295e-05,0.30555,3896.437848329544,284.65,284.58,0.001,220.0
189.64641500000002,-0.08348799999999999,27.947496728397667,0.189646415,-8.3488e-05,0.30595,4020.5575063228607,284.63,284.63,0.001,230.0
189.617155,-0.086528,27.947496728397667,0.189617155,-8.6528e-05,0.30545,4092.389002799988,284.69,284.63,0.001,240.0
189.596565,-0.090847,27.947496728397667,0.189596565,-9.084699999999999e-05,0.30615000000000003,4145.315193414688,284.64,284.55,0.001,250.0
189.58596999999997,-0.0961915,27.947496728397667,0.18958597,-9.61915e-05,0.30575,4156.233922243118,284.66,284.58,0.001,260.0
189.58703,-0.1013745,27.947496728397667,0.18958703,-0.0001013745,0.3066,4168.783018827438,284.64,284.58,0.001,270.0
189.59839,-0.1066335,27.947496728397667,0.18959839,-0.0001066335,0.30545,4239.813650131226,284.6,284.57,0.001,280.0
189.6204,-0.110823,27.947496728397667,0.1896204,-0.000110823,0.3063,4295.264431715012,284.66,284.6,0.001,290.0
189.650265,-0.11334799999999999,27.947496728397667,0.18965026499999998,-0.000113348,0.306,4357.569147825241,284.68,284.64,0.001,300.0
189.68601,-0.1142445,27.947496728397667,0.18968601000000002,-0.00011424450000000001,0.3068,4382.834347248077,284.72,284.59,0.001,310.0
189.72054500000002,-0.112977,27.947496728397667,0.18972054500000002,-0.000112977,0.3055,4444.837396144867,284.7,284.59,0.001,320.0
189.75208500000002,-0.1098295,27.947496728397667,0.18975208500000001,-0.0001098295,0.3063,4478.564965724945,284.72,284.66,0.001,330.0
189.77577,-0.10527450000000001,27.947496728397667,0.18977577,-0.0001052745,0.30674999999999997,4532.631074666977,284.67,284.66,0.001,340.0
189.787075,-0.09971000000000001,27.947496728397667,0.189787075,-9.971e-05,0.3062,4552.299660205841,284.63,284.62,0.001,350.0
189.78778000000003,-0.0943115,27.947496728397667,0.18978778000000002,-9.43115e-05,0.3062,4612.334354639053,284.7,284.55,0.001,360.0
