Rxx (ohm),Rxy (ohm),EM Current (percentage),Vxx (mV),Vxy (mV),Magnetic Field (T),Time stamp,T sample (K),T valve (k),DC current (mA),angle (°)
155.53625,-0.0860985,56.11157261457938,0.15553625,-8.60985e-05,0.60975,58.83899450302124,150.14,149.99,0.001,165.0
155.53660499999998,-0.0860285,51.314666699090424,0.155536605,-8.602849999999999e-05,0.5586500000000001,65.58354425430298,150.13,150.01,0.001,165.0
155.53630499999997,-0.086168,46.599157851336464,0.15553630499999999,-8.616799999999999e-05,0.5083,72.30207395553589,150.13,150.02,0.001,165.0
155.53660499999998,-0.0860395,41.92868749539299,0.155536605,-8.60395e-05,0.4585,78.97810912132263,150.13,149.99,0.001,165.0
155.53676,-0.086023,37.27513539594998,0.15553676,-8.6023e-05,0.40865,85.66248774528503,150.13,150.0,0.001,165.0
155.537215,-0.0859915,32.618619658311886,0.155537215,-8.59915e-05,0.35824999999999996,92.33154368400574,150.14,150.03,0.001,165.0
155.53757000000002,-0.08587800000000001,27.947496728397667,0.15553757,-8.587800000000001e-05,0.30835,99.01807999610901,150.14,149.99,0.001,165.0
155.53757000000002,-0.085846,23.258361392740753,0.15553757,-8.5846e-05,0.25685,105.69112253189087,150.13,150.0,0.001,165.0
155.53777499999998,-0.0859105,18.556046778489065,0.155537775,-8.59105e-05,0.2051,112.40063643455505,150.12,150.0,0.001,165.0
155.537975,-0.08580299999999999,17.615007636575633,0.155537975,-8.580299999999999e-05,0.19465,116.84537100791931,150.13,149.98,0.001,165.0
155.538025,-0.0858085,16.674081935315986,0.155538025,-8.58085e-05,0.18505,121.27158069610596,150.13,150.0,0.001,165.0
155.53813,-0.0859375,15.733426971832158,0.15553813,-8.59375e-05,0.1749,125.72077631950378,150.11,150.0,0.001,165.0
155.538535,-0.0858405,14.793213224591168,0.155538535,-8.58405e-05,0.16475,130.1694712638855,150.12,150.01,0.001,165.0
155.538485,-0.0858725,13.853624353405008,0.155538485,-8.58725e-05,0.1548,134.60617327690125,150.11,150.02,0.001,165.0
155.539245,-0.0857925,12.914857199430665,0.155539245,-8.57925e-05,0.1441,139.043883562088,150.14,150.0,0.001,165.0
155.5396,-0.085744,11.977121785170102,0.1555396,-8.5744e-05,0.1339,143.4915804862976,150.13,150.01,0.001,165.0
155.5397,-0.085712,11.040641314470264,0.1555397,-8.5712e-05,0.12395,147.9191963672638,150.12,150.02,0.001,165.0
155.5397,-0.085572,10.105652172523085,0.1555397,-8.5572e-05,0.11385,152.34344148635864,150.13,150.0,0.001,165.0
155.53995,-0.0856845,9.17240392586548,0.15553995,-8.56845e-05,0.1032,156.77815222740173,150.15,150.0,0.001,165.0
155.54056,-0.08557749999999999,8.241159322379342,0.15554056,-8.557749999999999e-05,0.09275,161.2378284931183,150.13,150.01,0.001,165.0
155.54031,-0.0855885,7.312194291291557,0.15554031000000001,-8.55885e-05,0.08395,165.67552137374878,150.15,150.0,0.001,165.0
155.540815,-0.08539499999999998,6.385797943173984,0.155540815,-8.539499999999999e-05,0.07385,170.11123251914978,150.13,149.99,0.001,165.0
155.54127499999998,-0.0852875,5.462272569943473,0.15554127499999998,-8.52875e-05,0.063,174.54394102096558,150.13,150.0,0.001,165.0
155.54202999999998,-0.0853625,4.541933644861854,0.15554203,-8.53625e-05,0.05265,178.9576597213745,150.13,150.01,0.001,165.0
155.54299500000002,-0.08517999999999999,3.625109822535939,0.15554299500000002,-8.518e-05,0.042749999999999996,183.3858458995819,150.14,150.02,0.001,165.0
155.54435999999998,-0.085003,2.7121429389175247,0.15554436,-8.5003e-05,0.03295,187.80255317687988,150.15,150.0,0.001,165.0
155.54624,-0.084643,1.803388011303391,0.15554624,-8.4643e-05,0.0229,192.23925185203552,150.14,150.03,0.001,165.0
155.55055000000002,-0.08386949999999999,0.8992132383353009,0.15555055,-8.386949999999999e-05,0.01295,196.66494488716125,150.13,150.1,0.001,165.0
155.54973999999999,-0.08316,0.44896207619309175,0.15554974,-8.316e-05,0.0087,200.8006751537323,150.12,149.91,0.001,165.0
155.55044499999997,-0.08316000000000001,0.39501759062550346,0.15555044499999998,-8.316000000000001e-05,0.0082,204.70790338516235,150.12,149.94,0.001,165.0
155.551665,-0.0830905,0.34109175223188015,0.155551665,-8.30905e-05,0.007050000000000001,208.62818217277527,150.12,149.95,0.001,165.0
155.55243000000002,-0.0828325,0.28718464649371495,0.15555243000000002,-8.28325e-05,0.00625,212.53850150108337,150.12,149.99,0.001,165.0
155.55298499999998,-0.0826715,0.23329635906333102,0.15555298499999998,-8.26715e-05,0.0055,216.45573735237122,150.12,150.0,0.001,165.0
155.55348999999998,-0.0824405,0.17942697576388178,0.15555349,-8.24405e-05,0.0055,220.38545322418213,150.13,149.99,0.001,165.0
155.55334,-0.082355,0.12557658258935098,0.15555333999999998,-8.2355e-05,0.00405,224.2907111644745,150.12,150.02,0.001,165.0
155.55349499999997,-0.0824295,0.07174526570455253,0.15555349499999999,-8.24295e-05,0.00355,228.20042634010315,150.13,150.01,0.001,165.0
155.55374500000002,-0.082338,0.01793311144513059,0.15555374500000002,-8.2338e-05,0.0033499999999999997,232.1071650981903,150.14,150.0,0.001,165.0
155.55268,-0.082424,-0.035868361681283045,0.15555268,-8.2424e-05,0.00375,239.04069566726685,150.12,150.07,0.001,165.0
155.546495,-0.08107099999999999,-0.08968691308589159,0.155546495,-8.1071e-05,0.0029,242.97041153907776,150.11,149.92,0.001,165.0
155.54487,-0.08020050000000001,-0.14352459831834743,0.15554487,-8.02005e-05,0.0010500000000000002,246.89012622833252,150.11,149.95,0.001,165.0
155.543095,-0.078885,-0.19738133109994987,0.155543095,-7.8885e-05,0.0019,250.7893648147583,150.11,149.98,0.001,165.0
155.537065,-0.077246,-0.25125702532282834,0.155537065,-7.7246e-05,0.001,254.6861343383789,150.12,149.99,0.001,165.0
155.52027499999997,-0.07517299999999999,-0.3051515950499426,0.15552027499999999,-7.5173e-05,0.00024999999999999995,258.5808844566345,150.13,150.01,0.001,165.0
155.46004,-0.07564050000000001,-0.3590649545150826,0.15546004,-7.564050000000001e-05,-0.00065,262.48015093803406,150.13,150.02,0.001,165.0
155.54182999999998,-0.078326,-0.41299701812286843,0.15554183,-7.832600000000001e-05,-0.0015999999999999999,266.39101362228394,150.12,149.98,0.001,165.0
155.54507499999997,-0.0800075,-0.46694770044875067,0.15554507499999998,-8.00075e-05,-0.0014,270.300993680954,150.12,150.0,0.001,165.0
155.547555,-0.0805495,-0.5209169162390097,0.155547555,-8.05495e-05,-0.00165,274.21624851226807,150.11,149.99,0.001,165.0
155.54984,-0.081001,-0.5749045804107568,0.15554984,-8.1001e-05,-0.0024,278.12099051475525,150.12,150.22,0.001,165.0
155.54715499999998,-0.081431,-0.6289106080519327,0.155547155,-8.1431e-05,-0.00315,282.0407066345215,150.12,149.94,0.001,165.0
155.54775999999998,-0.0818175,-0.6829349144213088,0.15554775999999998,-8.18175e-05,-0.0047,285.95644903182983,150.12,149.93,0.001,165.0
155.548015,-0.082188,-0.7369774149484867,0.15554801499999998,-8.218799999999999e-05,-0.0049499999999999995,289.8651850223541,150.13,149.99,0.001,165.0
155.547865,-0.0823975,-0.7910380252338984,0.155547865,-8.23975e-05,-0.00515,293.782922744751,150.12,149.99,0.001,165.0
155.54822000000001,-0.082505,-0.8451166610488057,0.15554822000000001,-8.2505e-05,-0.0057,297.6901662349701,150.12,150.03,0.001,165.0
155.54832000000002,-0.082564,-0.8992132383353009,0.15554832000000002,-8.2564e-05,-0.0056500000000000005,301.59692001342773,150.11,149.96,0.001,165.0
155.548625,-0.082897,-0.9533276732063064,0.155548625,-8.2897e-05,-0.0074,305.5131483078003,150.11,150.0,0.001,165.0
155.548065,-0.08288100000000001,-1.0074598819455751,0.155548065,-8.288100000000001e-05,-0.00805,309.4223828315735,150.1,149.99,0.001,165.0
155.548165,-0.08304199999999999,-1.06160978100769,0.15554816500000002,-8.3042e-05,-0.007350000000000001,313.33011054992676,150.11,150.01,0.001,165.0
155.54826999999997,-0.08322449999999999,-1.1157772870180638,0.15554827,-8.32245e-05,-0.009,317.2348778247833,150.12,149.99,0.001,165.0
155.54791500000002,-0.08343949999999999,-1.1699623167729405,0.155547915,-8.343949999999999e-05,-0.00925,321.14162278175354,150.12,149.98,0.001,165.0
155.54746,-0.08349899999999999,-1.2241647872393935,0.15554746,-8.3499e-05,-0.0097,325.0598554611206,150.12,150.02,0.001,165.0
155.547205,-0.0835415,-1.2783846155553267,0.155547205,-8.35415e-05,-0.0103,328.9939548969269,150.11,149.97,0.001,165.0
155.5471,-0.08366499999999999,-1.3326217190294742,0.1555471,-8.366499999999999e-05,-0.01165,332.9165418148041,150.13,150.0,0.001,165.0
155.54685,-0.083848,-1.3868760151414004,0.15554685000000001,-8.3848e-05,-0.011300000000000001,336.8342778682709,150.12,150.01,0.001,165.0
155.54629,-0.08383199999999999,-1.4411474215414997,0.15554629,-8.383199999999999e-05,-0.0125,340.7300319671631,150.12,150.0,0.001,165.0
155.54634000000001,-0.083837,-1.4954358560509973,0.15554634,-8.383699999999999e-05,-0.0129,344.64925742149353,150.11,150.01,0.001,165.0
155.54577999999998,-0.0839555,-1.5497412366619472,0.15554578,-8.39555e-05,-0.01355,348.56500720977783,150.11,149.97,0.001,165.0
155.545935,-0.083966,-1.6040634815372359,0.155545935,-8.3966e-05,-0.01435,352.47073793411255,150.12,149.99,0.001,165.0
155.54552999999999,-0.0841005,-1.658402509010578,0.15554553,-8.410049999999999e-05,-0.0154,356.3869755268097,150.12,150.01,0.001,165.0
155.545785,-0.084009,-1.7127582375865202,0.155545785,-8.4009e-05,-0.01485,360.292724609375,150.12,150.0,0.001,165.0
155.545125,-0.084106,-1.7671305859404376,0.155545125,-8.4106e-05,-0.0162,364.1979684829712,150.11,149.97,0.001,165.0
155.545275,-0.0841805,-1.8215194729185362,0.155545275,-8.41805e-05,-0.01585,368.1176903247833,150.14,150.03,0.001,165.0
155.545025,-0.0841215,-1.8759248175378536,0.155545025,-8.41215e-05,-0.016649999999999998,372.03341817855835,150.12,150.01,0.001,165.0
155.54492,-0.084229,-1.930346538986255,0.15554492,-8.4229e-05,-0.0168,375.9506480693817,150.12,149.99,0.001,165.0
155.54482,-0.0842185,-1.9847845566224387,0.15554482,-8.421850000000001e-05,-0.018,379.86539673805237,150.1,150.0,0.001,165.0
155.54471999999998,-0.084342,-2.0392387899759306,0.15554472,-8.4342e-05,-0.018750000000000003,383.78113865852356,150.11,150.01,0.001,165.0
155.54415999999998,-0.08432049999999999,-2.0937091587470884,0.15554416,-8.43205e-05,-0.0195,387.6873846054077,150.12,150.01,0.001,165.0
155.544465,-0.084342,-2.1481955828071,0.155544465,-8.4342e-05,-0.0204,391.5959327220917,150.11,150.01,0.001,165.0
155.54477,-0.08440099999999999,-2.202697982197983,0.15554477,-8.4401e-05,-0.02045,395.50041699409485,150.13,150.02,0.001,165.0
155.54487,-0.0846055,-2.257216277132586,0.15554487,-8.46055e-05,-0.0213,399.4166522026062,150.14,149.99,0.001,165.0
155.54253500000002,-0.084879,-3.1681223837450183,0.155542535,-8.4879e-05,-0.03095,403.82386589050293,150.11,149.96,0.001,165.0
155.540965,-0.085046,-4.083061290045219,0.155540965,-8.5046e-05,-0.0411,408.25955629348755,150.12,150.01,0.001,165.0
155.5395,-0.085158,-5.0016845694089,0.1555395,-8.5158e-05,-0.0506,412.69874930381775,150.14,150.0,0.001,165.0
155.538385,-0.0851745,-5.923656976556756,0.155538385,-8.51745e-05,-0.0606,417.1344394683838,150.12,149.97,0.001,165.0
155.53828,-0.0851745,-6.848656447554464,0.15553828,-8.51745e-05,-0.07114999999999999,421.5476658344269,150.13,150.01,0.001,165.0
155.53833,-0.08530850000000001,-7.776374099812687,0.15553833,-8.530850000000001e-05,-0.08155000000000001,425.9823763370514,150.13,150.01,0.001,165.0
155.53843,-0.08541599999999999,-8.70651423208707,0.15553843,-8.5416e-05,-0.09135,430.4171187877655,150.11,149.99,0.001,165.0
155.53742,-0.0854,-9.63879432447824,0.15553742,-8.54e-05,-0.1017,434.8443093299866,150.13,150.01,0.001,165.0
155.53777499999998,-0.08541599999999999,-10.572945038431808,0.155537775,-8.5416e-05,-0.1125,439.30101108551025,150.11,149.98,0.001,165.0
155.53686,-0.0855295,-11.508710216738368,0.15553686,-8.55295e-05,-0.12190000000000001,443.73382353782654,150.12,150.0,0.001,165.0
155.537265,-0.0854375,-12.4458468835335,0.155537265,-8.54375e-05,-0.1321,448.15753197669983,150.12,150.0,0.001,165.0
155.53706,-0.08548599999999999,-13.38412524429776,0.15553706,-8.5486e-05,-0.1421,452.6159088611603,150.12,149.97,0.001,165.0
155.53686,-0.085443,-14.323328685856696,0.15553686,-8.5443e-05,-0.15275,457.0530107021332,150.12,150.01,0.001,165.0
155.53691,-0.0853625,-15.263253776380832,0.15553691,-8.53625e-05,-0.16285,461.5002009868622,150.13,149.97,0.001,165.0
155.53660499999998,-0.085572,-16.203710265385677,0.155536605,-8.5572e-05,-0.17254999999999998,465.93589305877686,150.13,149.99,0.001,165.0
155.53650499999998,-0.08556699999999999,-17.14452108373173,0.155536505,-8.556699999999999e-05,-0.18345,470.37260699272156,150.13,150.04,0.001,165.0
