Rxx (ohm),Rxy (ohm),EM Current (percentage),Vxx (mV),Vxy (mV),Magnetic Field (T),Time stamp,T sample (K),T valve (k),DC current (mA),angle (°)
155.37834999999998,-0.06905499999999999,56.11157261457938,0.15537835,-6.9055e-05,0.61035,58.19947838783264,150.11,150.01,0.001,75.0
155.37814999999998,-0.06929099999999999,51.314666699090424,0.15537815,-6.9291e-05,0.5591,64.96600127220154,150.1,150.01,0.001,75.0
155.378905,-0.069189,46.599157851336464,0.155378905,-6.9189e-05,0.50875,71.68104314804077,150.12,149.99,0.001,75.0
155.37911,-0.0692695,41.92868749539299,0.15537911,-6.92695e-05,0.45915,78.36657238006592,150.13,150.02,0.001,75.0
155.37891,-0.06926999999999998,37.27513539594998,0.15537890999999998,-6.926999999999999e-05,0.4089,85.04510879516602,150.11,149.98,0.001,75.0
155.37936499999998,-0.0692055,32.618619658311886,0.155379365,-6.920550000000001e-05,0.35805,91.7101583480835,150.12,149.97,0.001,75.0
155.379615,-0.06943049999999999,27.947496728397667,0.155379615,-6.94305e-05,0.30825,98.39222168922424,150.11,150.0,0.001,75.0
155.380175,-0.06956549999999999,23.258361392740753,0.155380175,-6.95655e-05,0.25675,105.07775640487671,150.12,150.01,0.001,75.0
155.380275,-0.06958149999999999,18.556046778489065,0.155380275,-6.958149999999999e-05,0.20555,111.7842857837677,150.12,149.97,0.001,75.0
155.38022499999997,-0.06949549999999999,17.615007636575633,0.15538022499999998,-6.949549999999999e-05,0.19575,116.24224972724915,150.14,150.02,0.001,75.0
155.38067999999998,-0.069431,16.674081935315986,0.15538068,-6.9431e-05,0.18480000000000002,120.68960499763489,150.11,149.98,0.001,75.0
155.38114,-0.0696995,15.733426971832158,0.15538114,-6.96995e-05,0.17515,125.14780378341675,150.13,150.0,0.001,75.0
155.38124,-0.069678,14.793213224591168,0.15538124,-6.9678e-05,0.16465000000000002,129.5930140018463,150.12,149.99,0.001,75.0
155.380835,-0.069603,13.853624353405008,0.155380835,-6.9603e-05,0.1542,134.03970861434937,150.12,150.01,0.001,75.0
155.380885,-0.069651,12.914857199430665,0.155380885,-6.9651e-05,0.1447,138.4659070968628,150.12,150.0,0.001,75.0
155.38032499999997,-0.06977449999999999,11.977121785170102,0.15538032499999999,-6.97745e-05,0.1338,142.89911437034607,150.12,150.01,0.001,75.0
155.38109,-0.0697695,11.040641314470264,0.15538109,-6.97695e-05,0.1246,147.34236454963684,150.13,149.97,0.001,75.0
155.38124,-0.0697475,10.105652172523085,0.15538124,-6.97475e-05,0.11395,151.76708006858826,150.14,149.98,0.001,75.0
155.38169499999998,-0.069823,9.17240392586548,0.155381695,-6.9823e-05,0.10305,156.21276569366455,150.12,150.02,0.001,75.0
155.38169499999998,-0.0698335,8.241159322379342,0.155381695,-6.98335e-05,0.0931,160.62350726127625,150.12,150.01,0.001,75.0
155.38205,-0.06994650000000001,7.312194291291557,0.15538205,-6.99465e-05,0.08315,165.0691955089569,150.12,150.0,0.001,75.0
155.382455,-0.0700485,6.385797943173984,0.155382455,-7.00485e-05,0.07245,169.4964063167572,150.13,150.0,0.001,75.0
155.38270999999997,-0.070065,5.462272569943473,0.15538270999999998,-7.0065e-05,0.06355,173.92510175704956,150.12,150.01,0.001,75.0
155.384385,-0.070199,4.541933644861854,0.155384385,-7.0199e-05,0.0534,178.35957980155945,150.13,149.99,0.001,75.0
155.38474,-0.0703225,3.625109822535939,0.15538474,-7.03225e-05,0.0424,182.79094576835632,150.13,149.99,0.001,75.0
155.38514,-0.0705805,2.7121429389175247,0.15538514,-7.05805e-05,0.03295,187.20566153526306,150.13,149.98,0.001,75.0
