Rxx (ohm),Rxy (ohm),EM Current (percentage),Vxx (mV),Vxy (mV),Magnetic Field (T),Time stamp,T sample (K),T valve (k),DC current (mA),angle (°)
152.59027,-0.0638015,13.38412524429776,0.15259027,-6.38015e-05,0.1469,3627.1403195858,140.15,139.97,0.001,37.0
152.59027,-0.0637315,12.914857199430665,0.15259027,-6.37315e-05,0.14100000000000001,3631.2980511188507,140.15,140.23,0.001,37.0
152.589915,-0.0636675,12.4458468835335,0.152589915,-6.36675e-05,0.1383,3635.460283279419,140.14,139.83,0.001,37.0
152.589815,-0.06388250000000001,11.977121785170102,0.152589815,-6.38825e-05,0.1313,3639.606008529663,140.14,140.04,0.001,37.0
152.590525,-0.0637745,11.508710216738368,0.152590525,-6.37745e-05,0.12625,3643.7737238407135,140.14,140.06,0.001,37.0
152.59017,-0.06395749999999999,11.040641314470264,0.15259017,-6.395749999999999e-05,0.12225,3647.9504432678223,140.13,139.83,0.001,37.0
152.590375,-0.0638125,10.572945038431808,0.152590375,-6.38125e-05,0.11655,3652.097677230835,140.14,140.14,0.001,37.0
152.59113499999998,-0.06394699999999999,10.105652172523085,0.152591135,-6.394699999999999e-05,0.11155,3656.264883995056,140.14,139.98,0.001,37.0
152.59077999999997,-0.0639895,9.63879432447824,0.15259077999999998,-6.398950000000001e-05,0.10800000000000001,3660.4345819950104,140.14,139.82,0.001,37.0
152.59077999999997,-0.0637105,9.17240392586548,0.15259077999999998,-6.37105e-05,0.10314999999999999,3664.6142797470093,140.15,140.05,0.001,37.0
152.59118500000002,-0.0640165,8.70651423208707,0.15259118500000002,-6.40165e-05,0.0963,3668.766527414322,140.13,140.2,0.001,37.0
152.59153999999998,-0.06385,8.241159322379342,0.15259154,-6.385000000000001e-05,0.0929,3672.9077837467194,140.14,139.83,0.001,37.0
152.59088,-0.063936,7.776374099812687,0.15259088,-6.3936e-05,0.0869,3677.0769984722137,140.14,139.94,0.001,37.0
152.59108500000002,-0.0640165,7.312194291291557,0.15259108500000002,-6.40165e-05,0.08365,3681.2432160377502,140.15,140.27,0.001,37.0
152.591185,-0.0638875,6.848656447554464,0.152591185,-6.38875e-05,0.0771,3685.3899331092834,140.15,139.87,0.001,37.0
152.591995,-0.0639305,6.385797943173984,0.152591995,-6.39305e-05,0.07150000000000001,3689.555652141571,140.15,139.94,0.001,37.0
152.59240499999999,-0.0639255,5.923656976556756,0.152592405,-6.39255e-05,0.06745,3693.6899123191833,140.14,140.23,0.001,37.0
152.592605,-0.064011,5.462272569943473,0.152592605,-6.4011e-05,0.06255,3697.8561639785767,140.14,139.83,0.001,37.0
152.59306,-0.0639845,5.0016845694089,0.15259306,-6.39845e-05,0.0575,3702.007552623749,140.15,139.92,0.001,37.0
152.59337,-0.063984,4.541933644861854,0.15259337,-6.3984e-05,0.0513,3706.155271053314,140.14,140.06,0.001,37.0
152.594385,-0.063968,4.083061290045219,0.152594385,-6.3968e-05,0.0485,3710.3129847049713,140.14,140.27,0.001,37.0
152.596055,-0.0640215,3.625109822535939,0.152596055,-6.40215e-05,0.0429,3714.458229780197,140.14,139.82,0.001,37.0
152.59722,-0.06412400000000001,3.1681223837450183,0.15259722,-6.412400000000001e-05,0.0377,3718.6039633750916,140.15,140.05,0.001,37.0
152.598945,-0.06405949999999999,2.7121429389175247,0.15259894499999999,-6.40595e-05,0.0327,3722.760673046112,140.14,140.2,0.001,37.0
152.60087,-0.06412400000000001,2.257216277132586,0.15260087,-6.412400000000001e-05,0.02785,3726.897925376892,140.14,139.83,0.001,37.0
152.603305,-0.06419899999999999,1.803388011303391,0.15260330500000002,-6.4199e-05,0.022,3731.044184446335,140.14,140.09,0.001,37.0
152.60949000000002,-0.0643875,1.350704578177192,0.15260949000000001,-6.43875e-05,0.01795,3735.2023997306824,140.15,140.07,0.001,37.0
152.61943,-0.064817,0.8992132383353009,0.15261943,-6.4817e-05,0.0132,3739.35062623024,140.15,139.85,0.001,37.0
152.63945499999997,-0.066444,0.44896207619309175,0.15263945499999998,-6.6444e-05,0.0084,3743.5028579235077,140.15,139.96,0.001,37.0
152.64290499999998,-0.066944,0.39501759062550346,0.152642905,-6.6944e-05,0.00775,3747.4205915927887,140.15,140.24,0.001,37.0
152.64624999999998,-0.0675775,0.34109175223188015,0.15264624999999998,-6.75775e-05,0.006699999999999999,3751.3153529167175,140.14,139.86,0.001,37.0
152.649445,-0.06822199999999999,0.28718464649371495,0.152649445,-6.8222e-05,0.00745,3755.2241020202637,140.15,139.89,0.001,37.0
152.652135,-0.068915,0.23329635906333102,0.152652135,-6.8915e-05,0.00555,3759.127852678299,140.14,140.19,0.001,37.0
152.65512999999999,-0.06997350000000001,0.17942697576388178,0.15265513,-6.997350000000001e-05,0.00515,3763.0555832386017,140.16,139.92,0.001,37.0
152.65679999999998,-0.07058600000000001,0.12557658258935098,0.15265679999999998,-7.0586e-05,0.0049,3766.961814880371,140.15,139.87,0.001,37.0
152.659035,-0.071574,0.07174526570455253,0.152659035,-7.1574e-05,0.0040999999999999995,3770.867244720459,140.15,139.93,0.001,37.0
152.66025,-0.0725195,0.01793311144513059,0.15266025,-7.25195e-05,0.00315,3774.772078514099,140.15,140.15,0.001,37.0
152.65887999999998,-0.07298149999999999,-0.035868361681283045,0.15265888,-7.298149999999999e-05,0.0031999999999999997,3781.6944019794464,140.14,139.85,0.001,37.0
152.659695,-0.07454999999999999,-0.08968691308589159,0.152659695,-7.455e-05,0.0018499999999999999,3785.591293811798,140.14,139.98,0.001,37.0
152.659535,-0.07593549999999999,-0.14352459831834743,0.152659535,-7.593549999999999e-05,0.00135,3789.483870744705,140.15,140.22,0.001,37.0
152.64701499999998,-0.0776385,-0.19738133109994987,0.152647015,-7.76385e-05,0.0019,3793.3941655158997,140.14,139.84,0.001,37.0
152.575825,-0.079368,-0.25125702532282834,0.152575825,-7.936799999999999e-05,-0.00039999999999999996,3797.313878774643,140.15,139.91,0.001,37.0
152.562945,-0.08153300000000001,-0.3051515950499426,0.152562945,-8.153300000000001e-05,-0.0003,3801.2221262454987,140.16,140.17,0.001,37.0
152.54950499999998,-0.072047,-0.3590649545150826,0.15254950499999997,-7.2047e-05,-0.00045,3805.12340426445,140.14,140.02,0.001,37.0
152.58201,-0.07083249999999999,-0.41299701812286843,0.15258201,-7.08325e-05,-0.0015,3809.0311348438263,140.14,139.85,0.001,37.0
152.63606000000001,-0.06979600000000001,-0.46694770044875067,0.15263606000000002,-6.979600000000001e-05,-0.0020499999999999997,3812.9508514404297,140.15,140.07,0.001,37.0
152.640525,-0.06885100000000001,-0.5209169162390097,0.152640525,-6.885100000000001e-05,-0.0010500000000000002,3816.8596045970917,140.16,140.24,0.001,37.0
152.63789,-0.068131,-0.5749045804107568,0.15263789,-6.8131e-05,-0.0018499999999999999,3820.7753553390503,140.13,139.79,0.001,37.0
152.63596,-0.06731999999999999,-0.6289106080519327,0.15263596000000001,-6.732e-05,-0.0038900000000000002,3824.6691131591797,140.17,139.93,0.001,37.0
152.632515,-0.0669925,-0.6829349144213088,0.15263251500000002,-6.699249999999999e-05,-0.0033499999999999997,3828.578828573227,140.15,139.99,0.001,37.0
152.62962499999998,-0.0665625,-0.7369774149484867,0.152629625,-6.65625e-05,-0.0039499999999999995,3832.496556520462,140.17,140.24,0.001,37.0
152.626985,-0.06629399999999999,-0.7910380252338984,0.152626985,-6.6294e-05,-0.00645,3836.4042999744415,140.16,139.91,0.001,37.0
152.62368999999998,-0.06607400000000001,-0.8451166610488057,0.15262368999999998,-6.6074e-05,-0.00485,3840.3130424022675,140.15,139.88,0.001,37.0
152.62145999999998,-0.066004,-0.8992132383353009,0.15262146,-6.6004e-05,-0.0059,3844.2078034877777,140.14,140.21,0.001,37.0
152.619835,-0.06581600000000001,-0.9533276732063064,0.152619835,-6.581600000000001e-05,-0.0062,3848.1231014728546,140.15,139.93,0.001,37.0
152.618415,-0.0655955,-1.0074598819455751,0.152618415,-6.55955e-05,-0.007600000000000001,3852.042349100113,140.15,139.84,0.001,37.0
152.616285,-0.0654185,-1.06160978100769,0.15261628500000002,-6.541850000000001e-05,-0.00715,3855.9490878582,140.16,139.93,0.001,37.0
152.61709499999998,-0.0653595,-1.1157772870180638,0.15261709499999998,-6.53595e-05,-0.008400000000000001,3859.8888027668,140.14,140.12,0.001,37.0
152.616235,-0.06546149999999999,-1.1699623167729405,0.152616235,-6.54615e-05,-0.009999999999999998,3863.804536342621,140.17,140.22,0.001,37.0
152.61476000000002,-0.0652895,-1.2241647872393935,0.15261476000000002,-6.52895e-05,-0.0102,3867.6997916698456,140.15,139.83,0.001,37.0
152.612735,-0.065193,-1.2783846155553267,0.152612735,-6.5193e-05,-0.0108,3871.6150431632996,140.15,139.87,0.001,37.0
152.61172499999998,-0.06516599999999999,-1.3326217190294742,0.15261172499999998,-6.516599999999999e-05,-0.01105,3875.5327751636505,140.15,140.04,0.001,37.0
152.611265,-0.0649295,-1.3868760151414004,0.152611265,-6.492950000000001e-05,-0.0121,3879.451504468918,140.16,140.23,0.001,37.0
152.61015,-0.065021,-1.4411474215414997,0.15261015,-6.5021e-05,-0.01255,3883.3697502613068,140.16,139.86,0.001,37.0
