Rxx (ohm),Rxy (ohm),EM Current (percentage),Vxx (mV),Vxy (mV),Magnetic Field (T),Time stamp,T sample (K),T valve (k)
1.936813199999999995e+02,-1.034110000000000029e-01,2.654195202460016390e+01,1.936813199999999902e-01,-1.034110000000000031e-04,2.897000000000000131e-01,1.726749994542403221e+09,3.019399999999999977e+02,2.999800000000000182e+02
1.929973899999999958e+02,-1.030879999999999991e-01,2.654195202460016390e+01,1.929973899999999909e-01,-1.030879999999999996e-04,2.903000000000000025e-01,1.726750298135607719e+09,2.988199999999999932e+02,2.979800000000000182e+02
1.924522900000000050e+02,-1.026589999999999864e-01,2.654195202460016390e+01,1.924522899999999981e-01,-1.026589999999999941e-04,2.899999999999999800e-01,1.726750611200493336e+09,2.964300000000000068e+02,2.958600000000000136e+02
1.919649900000000002e+02,-1.023040000000000060e-01,2.654195202460016390e+01,1.919649900000000020e-01,-1.023040000000000017e-04,2.904999999999999805e-01,1.726750914766376495e+09,2.944100000000000250e+02,2.939599999999999795e+02
1.915139999999999816e+02,-1.022829999999999989e-01,2.654195202460016390e+01,1.915139999999999898e-01,-1.022829999999999963e-04,2.893999999999999906e-01,1.726751217909243822e+09,2.924200000000000159e+02,2.921399999999999864e+02
1.910400899999999922e+02,-1.020679999999999921e-01,2.654195202460016390e+01,1.910400899999999957e-01,-1.020679999999999992e-04,2.897000000000000131e-01,1.726751520796645164e+09,2.903700000000000045e+02,2.899200000000000159e+02
1.905954999999999870e+02,-1.014549999999999896e-01,2.654195202460016390e+01,1.905955000000000010e-01,-1.014549999999999968e-04,2.903000000000000025e-01,1.726751824630370140e+09,2.884399999999999977e+02,2.879399999999999977e+02
1.901327399999999841e+02,-1.014549999999999896e-01,2.654195202460016390e+01,1.901327399999999945e-01,-1.014549999999999968e-04,2.896000000000000241e-01,1.726752132849260807e+09,2.864300000000000068e+02,2.858999999999999773e+02
1.896555900000000179e+02,-1.010360000000000008e-01,2.654195202460016390e+01,1.896555900000000128e-01,-1.010359999999999996e-04,2.894999999999999796e-01,1.726752436266727686e+09,2.844100000000000250e+02,2.839300000000000068e+02
1.891954700000000003e+02,-1.006499999999999895e-01,2.654195202460016390e+01,1.891954700000000045e-01,-1.006499999999999935e-04,2.903999999999999915e-01,1.726752739589276314e+09,2.824300000000000068e+02,2.818799999999999955e+02
1.887399100000000089e+02,-1.002409999999999968e-01,2.654195202460016390e+01,1.887399100000000107e-01,-1.002410000000000047e-04,2.902000000000000135e-01,1.726753043058509827e+09,2.804300000000000068e+02,2.799399999999999977e+02
1.882859799999999950e+02,-1.002310000000000006e-01,2.654195202460016390e+01,1.882859799999999917e-01,-1.002309999999999963e-04,2.903000000000000025e-01,1.726753346120894432e+09,2.785099999999999909e+02,2.780000000000000000e+02
1.878180600000000027e+02,-9.983300000000000507e-02,2.654195202460016390e+01,1.878180600000000089e-01,-9.983300000000000453e-05,2.903000000000000025e-01,1.726753649239298582e+09,2.764900000000000091e+02,2.759399999999999977e+02
1.873473899999999901e+02,-9.965099999999998959e-02,2.654195202460016390e+01,1.873473900000000025e-01,-9.965099999999999848e-05,2.896000000000000241e-01,1.726753958489692211e+09,2.745899999999999750e+02,2.738700000000000045e+02
1.868814999999999884e+02,-9.910299999999999665e-02,2.654195202460016390e+01,1.868815000000000059e-01,-9.910300000000000305e-05,2.908000000000000029e-01,1.726754263555420637e+09,2.726100000000000136e+02,2.719700000000000273e+02
1.864104299999999910e+02,-9.904899999999999816e-02,2.654195202460016390e+01,1.864104299999999881e-01,-9.904900000000000661e-05,2.903000000000000025e-01,1.726754576760621786e+09,2.705000000000000000e+02,2.699800000000000182e+02
1.859346999999999923e+02,-9.864100000000000645e-02,2.654195202460016390e+01,1.859347000000000083e-01,-9.864100000000000645e-05,2.893999999999999906e-01,1.726754882381309748e+09,2.685899999999999750e+02,2.678399999999999750e+02
1.854744799999999998e+02,-9.862999999999999545e-02,2.654195202460016390e+01,1.854744799999999971e-01,-9.862999999999999589e-05,2.904999999999999805e-01,1.726755186141465187e+09,2.666600000000000250e+02,2.659100000000000250e+02
1.849984399999999880e+02,-9.808200000000000252e-02,2.654195202460016390e+01,1.849984399999999862e-01,-9.808200000000000046e-05,2.893000000000000016e-01,1.726755489520692825e+09,2.646700000000000159e+02,2.640000000000000000e+02
1.845341699999999889e+02,-9.798500000000000265e-02,2.654195202460016390e+01,1.845341699999999974e-01,-9.798500000000000460e-05,2.908999999999999919e-01,1.726755794609101295e+09,2.626899999999999977e+02,2.619499999999999886e+02
