Rxx (ohm),Rxy (ohm),EM Current (percentage),Vxx (mV),Vxy (mV),Magnetic Field (T),Time stamp,T sample (K),T valve (k)
1.928993200000000172e+02,-8.553399999999999892e-02,2.654195202460016390e+01,1.928993200000000130e-01,-8.553399999999999794e-05,2.913999999999999924e-01,1.726714548086708546e+09,2.984300000000000068e+02,3.000000000000000000e+02
1.926511599999999760e+02,-8.512599999999999334e-02,2.654195202460016390e+01,1.926511599999999880e-01,-8.512599999999999778e-05,2.914999999999999813e-01,1.726714880318888664e+09,2.975000000000000000e+02,2.979300000000000068e+02
1.922701500000000010e+02,-8.506199999999999872e-02,2.654195202460016390e+01,1.922701500000000008e-01,-8.506200000000000653e-05,2.909999999999999809e-01,1.726715183236445904e+09,2.958899999999999864e+02,2.956100000000000136e+02
1.918089099999999974e+02,-8.442800000000000304e-02,2.654195202460016390e+01,1.918089099999999991e-01,-8.442799999999999871e-05,2.907000000000000139e-01,1.726715486155355215e+09,2.940500000000000114e+02,2.933299999999999841e+02
1.912991099999999847e+02,-8.392299999999999760e-02,2.654195202460016390e+01,1.912991099999999944e-01,-8.392300000000000270e-05,2.911000000000000254e-01,1.726715789015132666e+09,2.918700000000000045e+02,2.918000000000000114e+02
1.908156699999999830e+02,-8.340699999999999503e-02,2.654195202460016390e+01,1.908156699999999928e-01,-8.340699999999999612e-05,2.913000000000000034e-01,1.726716091987656593e+09,2.897799999999999727e+02,2.899200000000000159e+02
1.903669099999999901e+02,-8.331099999999999617e-02,2.654195202460016390e+01,1.903669100000000003e-01,-8.331100000000000246e-05,2.906000000000000250e-01,1.726716394796597719e+09,2.878600000000000136e+02,2.880400000000000205e+02
1.898858999999999924e+02,-8.291300000000000059e-02,2.654195202460016390e+01,1.898858999999999964e-01,-8.291299999999999712e-05,2.912000000000000144e-01,1.726716697630595446e+09,2.858600000000000136e+02,2.860600000000000023e+02
1.894201099999999940e+02,-8.235499999999999765e-02,2.654195202460016390e+01,1.894201100000000026e-01,-8.235499999999999331e-05,2.913999999999999924e-01,1.726717000484238625e+09,2.838299999999999841e+02,2.839399999999999977e+02
1.889517800000000136e+02,-8.241899999999999227e-02,2.654195202460016390e+01,1.889517800000000136e-01,-8.241899999999999812e-05,2.924999999999999822e-01,1.726717303367263079e+09,2.817300000000000182e+02,2.819700000000000273e+02
