Rxx (ohm),Rxy (ohm),EM Current (percentage),Vxx (mV),Vxy (mV),Magnetic Field (T),Time stamp,T sample (K),T valve (k)
1.916514199999999732e+02,-1.033250000000000002e-01,-7.917775392627053599e-02,1.916514199999999890e-01,-1.033250000000000043e-04,1.299999999999999940e-03,1.726589334001392126e+09,2.935600000000000023e+02,2.999900000000000091e+02
1.912418100000000152e+02,-1.034209999999999990e-01,-7.917775392627053599e-02,1.912418100000000121e-01,-1.034209999999999980e-04,1.899999999999999996e-03,1.726589637420058250e+09,2.917799999999999727e+02,2.979900000000000091e+02
1.905165900000000079e+02,-1.022930000000000089e-01,-7.917775392627053599e-02,1.905165900000000134e-01,-1.022930000000000047e-04,1.600000000000000077e-03,1.726589940263271332e+09,2.892900000000000205e+02,2.961899999999999977e+02
1.896450399999999945e+02,-1.007679999999999965e-01,-7.917775392627053599e-02,1.896450399999999870e-01,-1.007679999999999947e-04,2.000000000000000042e-03,1.726590243066736460e+09,2.853600000000000136e+02,2.939800000000000182e+02
1.890186099999999954e+02,-1.006819999999999937e-01,-7.917775392627053599e-02,1.890186100000000036e-01,-1.006819999999999959e-04,1.799999999999999951e-03,1.726590545998810053e+09,2.824900000000000091e+02,2.920000000000000000e+02
1.885011799999999766e+02,-1.005100000000000021e-01,-7.917775392627053599e-02,1.885011799999999904e-01,-1.005099999999999982e-04,1.899999999999999996e-03,1.726590848835281372e+09,2.802900000000000205e+02,2.900600000000000023e+02
1.880125699999999824e+02,-1.004560000000000036e-01,-7.917775392627053599e-02,1.880125699999999900e-01,-1.004560000000000018e-04,2.299999999999999961e-03,1.726591151718226433e+09,2.781200000000000045e+02,2.880099999999999909e+02
1.875137100000000032e+02,-9.988700000000000356e-02,-7.917775392627053599e-02,1.875137100000000001e-01,-9.988700000000000096e-05,1.399999999999999986e-03,1.726591454603825331e+09,2.760899999999999750e+02,2.859399999999999977e+02
1.870083700000000135e+02,-9.944599999999999274e-02,-7.917775392627053599e-02,1.870083700000000071e-01,-9.944599999999999621e-05,2.099999999999999870e-03,1.726591757440201759e+09,2.738999999999999773e+02,2.839499999999999886e+02
1.864956200000000024e+02,-9.926400000000000501e-02,-7.917775392627053599e-02,1.864956200000000008e-01,-9.926400000000000371e-05,1.399999999999999986e-03,1.726592060305292130e+09,2.718000000000000114e+02,2.819599999999999795e+02
1.860029499999999985e+02,-9.886599999999999555e-02,-7.917775392627053599e-02,1.860029500000000002e-01,-9.886599999999999837e-05,2.000000000000000042e-03,1.726592363089176178e+09,2.696600000000000250e+02,2.799900000000000091e+02
1.855322899999999890e+02,-9.841500000000000248e-02,-7.917775392627053599e-02,1.855322899999999886e-01,-9.841499999999999879e-05,2.000000000000000042e-03,1.726592665888341188e+09,2.675899999999999750e+02,2.779700000000000273e+02
1.850035100000000057e+02,-9.823199999999999987e-02,-7.917775392627053599e-02,1.850035100000000099e-01,-9.823200000000000410e-05,1.600000000000000077e-03,1.726592968684125900e+09,2.655299999999999727e+02,2.760500000000000114e+02
1.844943099999999845e+02,-9.815699999999999426e-02,-7.917775392627053599e-02,1.844943099999999947e-01,-9.815700000000000228e-05,2.599999999999999881e-03,1.726593271512655258e+09,2.633899999999999864e+02,2.740000000000000000e+02
1.839931200000000047e+02,-9.810399999999999676e-02,-7.917775392627053599e-02,1.839931200000000100e-01,-9.810399999999999448e-05,1.699999999999999905e-03,1.726593574377013922e+09,2.613500000000000227e+02,2.719300000000000068e+02
