Rxx (ohm),Rxy (ohm),EM Current (percentage),Vxx (mV),Vxy (mV),Magnetic Field (T),Time stamp,T sample (K),T valve (k)
1.928778200000000140e+02,-9.542899999999999994e-02,-7.917775392627053599e-02,1.928778200000000054e-01,-9.542899999999999723e-05,8.000000000000000383e-04,1.726668889871936321e+09,2.982900000000000205e+02,2.999399999999999977e+02
1.925487300000000062e+02,-9.547200000000000131e-02,-7.917775392627053599e-02,1.925487300000000013e-01,-9.547199999999999665e-05,1.699999999999999905e-03,1.726669194024012089e+09,2.970000000000000000e+02,2.979700000000000273e+02
1.921253300000000195e+02,-9.521399999999999308e-02,-7.917775392627053599e-02,1.921253300000000108e-01,-9.521400000000000013e-05,1.100000000000000066e-03,1.726669497289096355e+09,2.952200000000000273e+02,2.960099999999999909e+02
1.916703799999999944e+02,-9.493399999999999062e-02,-7.917775392627053599e-02,1.916703800000000013e-01,-9.493399999999999604e-05,1.600000000000000077e-03,1.726669800410064459e+09,2.931700000000000159e+02,2.938700000000000045e+02
1.912180800000000147e+02,-9.456899999999998641e-02,-7.917775392627053599e-02,1.912180800000000125e-01,-9.456899999999999530e-05,5.999999999999999474e-04,1.726670103265311480e+09,2.912200000000000273e+02,2.918799999999999955e+02
1.907582600000000070e+02,-9.438699999999999868e-02,-7.917775392627053599e-02,1.907582600000000128e-01,-9.438700000000000280e-05,2.200000000000000133e-03,1.726670406129062891e+09,2.892599999999999909e+02,2.899399999999999977e+02
1.903072799999999916e+02,-9.432199999999998918e-02,-7.917775392627053599e-02,1.903072799999999953e-01,-9.432199999999999580e-05,1.799999999999999951e-03,1.726670708941112041e+09,2.873299999999999841e+02,2.879800000000000182e+02
1.898222099999999841e+02,-9.388199999999999323e-02,-7.917775392627053599e-02,1.898222099999999912e-01,-9.388199999999999323e-05,1.699999999999999905e-03,1.726671011779121161e+09,2.853199999999999932e+02,2.858899999999999864e+02
1.893459699999999941e+02,-9.375299999999998912e-02,-7.917775392627053599e-02,1.893459700000000023e-01,-9.375299999999999498e-05,5.999999999999999474e-04,1.726671314637351990e+09,2.832099999999999795e+02,2.839100000000000250e+02
1.888611099999999965e+02,-9.354899999999999327e-02,-7.917775392627053599e-02,1.888611099999999987e-01,-9.354899999999999490e-05,1.199999999999999895e-03,1.726671617516183138e+09,2.811600000000000250e+02,2.819499999999999886e+02
1.883949000000000069e+02,-9.325899999999999468e-02,-7.917775392627053599e-02,1.883949000000000040e-01,-9.325899999999999598e-05,2.299999999999999961e-03,1.726671920381296396e+09,2.791700000000000159e+02,2.799399999999999977e+02
1.879161199999999781e+02,-9.307600000000000595e-02,-7.917775392627053599e-02,1.879161199999999921e-01,-9.307600000000000129e-05,1.899999999999999996e-03,1.726672225449417114e+09,2.771800000000000068e+02,2.778600000000000136e+02
1.874326799999999764e+02,-9.247400000000000064e-02,-7.917775392627053599e-02,1.874326799999999904e-01,-9.247399999999999587e-05,1.600000000000000077e-03,1.726672528238157749e+09,2.751800000000000068e+02,2.759200000000000159e+02
1.869654699999999821e+02,-9.225899999999999379e-02,-7.917775392627053599e-02,1.869654699999999947e-01,-9.225899999999999878e-05,1.899999999999999996e-03,1.726672831050396204e+09,2.731399999999999864e+02,2.739100000000000250e+02
1.864848700000000008e+02,-9.216300000000000880e-02,-7.917775392627053599e-02,1.864848699999999970e-01,-9.216300000000000512e-05,2.099999999999999870e-03,1.726673133869961977e+09,2.710600000000000023e+02,2.719200000000000159e+02
1.860191700000000026e+02,-9.194799999999998807e-02,-7.917775392627053599e-02,1.860191700000000115e-01,-9.194799999999999447e-05,1.799999999999999951e-03,1.726673436702601671e+09,2.690500000000000114e+02,2.698899999999999864e+02
1.855321799999999826e+02,-9.144299999999999651e-02,-7.917775392627053599e-02,1.855321799999999910e-01,-9.144299999999999846e-05,1.199999999999999895e-03,1.726673739655885935e+09,2.670600000000000023e+02,2.680000000000000000e+02
1.850600000000000023e+02,-9.117400000000000504e-02,-7.917775392627053599e-02,1.850600000000000023e-01,-9.117400000000000493e-05,1.399999999999999986e-03,1.726674042513702393e+09,2.651000000000000227e+02,2.660299999999999727e+02
1.845807200000000137e+02,-9.095999999999999919e-02,-7.917775392627053599e-02,1.845807200000000037e-01,-9.095999999999999648e-05,1.199999999999999895e-03,1.726674345344642878e+09,2.630899999999999750e+02,2.639399999999999977e+02
1.841144099999999924e+02,-9.069100000000000772e-02,-7.917775392627053599e-02,1.841144100000000061e-01,-9.069100000000000295e-05,1.899999999999999996e-03,1.726674648176543236e+09,2.612099999999999795e+02,2.619800000000000182e+02
1.836453699999999856e+02,-9.046499999999998987e-02,-7.917775392627053599e-02,1.836453700000000022e-01,-9.046499999999999529e-05,1.500000000000000031e-03,1.726674951054572582e+09,2.591600000000000250e+02,2.599900000000000091e+02
1.831838399999999751e+02,-9.005699999999999816e-02,-7.917775392627053599e-02,1.831838399999999867e-01,-9.005699999999999513e-05,8.000000000000000383e-04,1.726675253876418114e+09,2.572099999999999795e+02,2.579200000000000159e+02
1.827123700000000213e+02,-8.992799999999999405e-02,-7.917775392627053599e-02,1.827123700000000128e-01,-8.992799999999999687e-05,1.399999999999999986e-03,1.726675556768554449e+09,2.553100000000000023e+02,2.559900000000000091e+02
1.822272000000000105e+02,-8.969199999999999395e-02,-7.917775392627053599e-02,1.822272000000000058e-01,-8.969199999999999439e-05,2.200000000000000133e-03,1.726675859566141844e+09,2.532800000000000011e+02,2.540200000000000102e+02
1.817651600000000087e+02,-8.911199999999999677e-02,-7.917775392627053599e-02,1.817651600000000089e-01,-8.911199999999999655e-05,8.999999999999999754e-04,1.726676162371496439e+09,2.513300000000000125e+02,2.520300000000000011e+02
1.812739100000000008e+02,-8.915499999999999814e-02,-7.917775392627053599e-02,1.812739100000000103e-01,-8.915499999999999597e-05,1.199999999999999895e-03,1.726676465212527514e+09,2.493600000000000136e+02,2.500300000000000011e+02
1.807657199999999875e+02,-8.862799999999999845e-02,-7.917775392627053599e-02,1.807657199999999909e-01,-8.862800000000000593e-05,1.600000000000000077e-03,1.726676768029011965e+09,2.473100000000000023e+02,2.479399999999999977e+02
